candidate_id,english_name,entity_type,city,region_language,annotation_status,kannada_name,source_name,source_url,notes
cand_0001,Indiranagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0002,Koramangala,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0003,Whitefield,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0004,Electronic City,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0005,Hebbal,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0006,Bellandur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0007,HSR Layout,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0008,BTM Layout,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0009,JP Nagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0010,RT Nagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0011,Vijayanagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0012,Seshadripuram,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0013,Shivajinagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0014,Domlur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0015,Ulsoor,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0016,Frazer Town,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0017,Cox Town,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0018,Richmond Town,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0019,Wilson Garden,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0020,Shantinagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0021,Bommanahalli,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0022,Begur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0023,Arekere,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0024,Gottigere,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0025,Kumaraswamy Layout,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0026,Padmanabhanagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0027,Chamarajpet,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0028,Cottonpet,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0029,Kalasipalya,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0030,Sunkadakatte,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0031,Peenya,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0032,Jalahalli,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0033,Yeshwanthpur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0034,Mathikere,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0035,Sanjaynagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0036,Sadashivanagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0037,Kalyan Nagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0038,Kammanahalli,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0039,Horamavu,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0040,Ramamurthy Nagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0041,KR Puram,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0042,Brookefield,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0043,Varthur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0044,Sarjapur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0045,Hoodi,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0046,Kundalahalli,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0047,Munnekollal,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0048,Panathur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0049,Harlur,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0050,Singasandra,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0051,Kudlu,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0052,Hongasandra,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0053,Bilekahalli,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0054,Jigani,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0055,Anekal,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0056,Attibele,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0057,Kumbalgodu,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0058,Rajarajeshwari Nagar,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0059,Kengeri Satellite Town,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
cand_0060,Nayandahalli,locality,Bengaluru,Kannada,candidate,,,,Requires source verification and Kannada/native pronunciation review
